rank,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse,rmse
661,40.2596,54.9063,0.2787,28.9294,0.9377,1.3839,88.1880,9.3908
662,41.0662,61.7769,0.2800,25.5051,0.9940,1.3751,88.4254,9.4035
663,38.0443,53.1159,0.2893,32.1156,1.0062,1.3951,88.4631,9.4055
664,40.7310,60.8629,0.2807,23.0208,0.9972,1.3760,88.7643,9.4215
665,41.3252,51.9169,0.2724,31.1600,0.9516,1.3658,88.8141,9.4241
666,40.2508,54.0086,0.2784,33.3503,1.0448,1.3607,88.8489,9.4260
667,42.0295,52.3560,0.2689,34.4673,1.0124,1.3436,88.8618,9.4267
668,38.6028,53.3824,0.2865,32.0583,0.9509,1.4011,88.9035,9.4289
669,41.6768,52.2664,0.2707,33.2074,1.0284,1.3446,88.9903,9.4335
670,39.2479,61.1362,0.2883,25.3147,1.0191,1.3899,88.9991,9.4339
671,41.7948,60.9930,0.2755,23.5966,1.0528,1.3519,89.0051,9.4343
672,39.6526,61.5681,0.2868,24.2766,1.0381,1.3822,89.0075,9.4344
673,42.7443,60.0373,0.2699,23.0848,0.9905,1.3504,89.0156,9.4348
674,38.4530,53.0793,0.2872,33.8734,1.0237,1.3859,89.3352,9.4517
675,40.0787,51.8782,0.2787,32.7684,1.0376,1.3624,89.4073,9.4555
676,42.6195,59.5452,0.2700,27.0222,0.9536,1.3580,89.4096,9.4557
677,42.2291,53.2780,0.2681,33.4428,1.0238,1.3390,89.5492,9.4630
678,38.7706,51.6222,0.2853,34.5687,0.9995,1.3863,89.8786,9.4804
679,38.6810,52.1146,0.2858,31.7854,0.9834,1.3914,89.9169,9.4825
680,40.1357,61.6308,0.2844,23.3430,1.0177,1.3805,89.9788,9.4857
681,42.9501,59.9618,0.2688,25.8980,0.9701,1.3513,90.0416,9.4890
682,38.6006,51.8674,0.2862,34.3640,1.0010,1.3881,90.0686,9.4904
683,41.9388,53.7792,0.2698,32.0380,1.0431,1.3391,90.1732,9.4960
684,42.3767,61.5049,0.2732,22.3940,1.0257,1.3513,90.2156,9.4982
685,41.7344,61.0990,0.2759,24.9866,0.9774,1.3676,90.2593,9.5005
686,38.4363,53.3150,0.2873,30.0177,1.0512,1.3802,90.3397,9.5047
687,41.6086,50.7008,0.2708,33.0470,0.9915,1.3521,90.6348,9.5202
688,42.2324,60.0331,0.2724,23.6972,0.9775,1.3584,90.6851,9.5229
689,39.7073,51.0852,0.2805,34.5431,1.0146,1.3709,90.7520,9.5264
690,39.1127,51.3079,0.2835,35.2811,0.9498,1.3935,90.8334,9.5307
691,38.9770,51.6593,0.2842,34.4919,1.0135,1.3803,90.8977,9.5340
692,39.9355,50.5189,0.2793,36.0377,0.9941,1.3723,91.1514,9.5473
693,39.5843,61.2481,0.2868,25.4325,1.0031,1.3886,91.1809,9.5489
694,40.2193,60.3846,0.2828,24.5585,0.9816,1.3831,91.2065,9.5502
695,41.6722,52.0044,0.2706,35.3288,1.0124,1.3469,91.2893,9.5545
696,40.7500,50.9488,0.2752,36.0434,1.0052,1.3597,91.3033,9.5553
697,38.4538,55.9415,0.2883,29.7088,0.9516,1.4037,91.4350,9.5622
698,41.7983,61.5597,0.2761,24.0186,0.9903,1.3649,91.5732,9.5694
699,38.2159,52.3989,0.2882,34.0299,0.9703,1.3997,91.5924,9.5704
700,41.4350,50.4560,0.2717,35.3894,0.9847,1.3554,91.7760,9.5800
701,39.1875,60.3422,0.2879,26.6203,0.9851,1.3946,92.1931,9.6017
702,41.4075,61.3749,0.2778,24.0206,1.0521,1.3563,92.2645,9.6054
703,41.7659,51.9567,0.2702,34.1094,1.0213,1.3434,92.2770,9.6061
704,38.2873,52.1421,0.2878,34.1006,0.9729,1.3976,92.5067,9.6180
705,42.9696,60.4212,0.2691,25.9912,0.9723,1.3507,92.5511,9.6204
706,40.1418,60.7713,0.2835,24.9636,0.9823,1.3843,92.5822,9.6220
707,39.7661,50.8929,0.2801,34.7496,1.0134,1.3696,92.6892,9.6275
708,41.8069,51.2650,0.2698,34.7030,0.9347,1.3621,92.7540,9.6309
709,39.5599,59.5760,0.2853,26.6486,0.9651,1.3923,92.7560,9.6310
710,38.3686,52.2891,0.2874,33.1184,0.9689,1.3975,92.7783,9.6321
711,41.8196,62.0304,0.2765,25.0099,1.0114,1.3611,92.7852,9.6325
712,39.2139,59.3546,0.2869,25.9391,0.9770,1.3934,93.0936,9.6485
713,40.5221,51.6116,0.2764,35.5846,1.0199,1.3588,93.3091,9.6597
714,41.9850,61.6563,0.2753,23.9976,0.9900,1.3621,93.5593,9.6726
715,40.2678,50.0307,0.2776,36.5177,0.9707,1.3724,93.9843,9.6946
716,41.4370,50.2215,0.2716,36.8509,0.9619,1.3598,93.9929,9.6950
717,42.7198,61.3769,0.2713,25.5115,0.9935,1.3515,94.0572,9.6983
718,40.3615,50.0053,0.2771,36.9287,0.9636,1.3729,94.0888,9.6999
719,43.1048,60.5040,0.2685,23.9503,0.9889,1.3452,94.1195,9.7015
720,40.2507,61.4100,0.2836,25.9506,0.9813,1.3841,94.2637,9.7089
721,41.7991,60.5812,0.2751,23.8258,0.9751,1.3640,94.3309,9.7124
722,42.5052,61.6818,0.2727,24.0578,1.0143,1.3505,94.5284,9.7226
723,42.4277,61.3289,0.2727,24.0626,0.9862,1.3560,94.6604,9.7294
724,42.4624,58.8353,0.2702,26.6144,0.9438,1.3577,94.7088,9.7318
725,41.7438,60.5090,0.2753,25.5641,0.9603,1.3673,94.7126,9.7320
726,37.9867,53.2761,0.2896,32.9065,0.9591,1.4042,94.7922,9.7361
727,37.9090,52.6657,0.2898,33.4562,1.0012,1.3947,94.9472,9.7441
728,40.6695,53.7582,0.2762,33.0796,1.0512,1.3516,95.1066,9.7523
729,42.7627,60.4654,0.2702,24.0327,1.0458,1.3375,95.1101,9.7524
730,41.2086,61.8222,0.2793,22.1627,1.0053,1.3683,95.2362,9.7589
731,39.5484,52.7785,0.2816,33.5001,1.0446,1.3658,95.2526,9.7597
732,43.0389,60.1981,0.2685,25.0405,0.9722,1.3480,95.3318,9.7638
733,41.5560,54.7386,0.2721,32.4806,1.0497,1.3415,95.3366,9.7640
734,39.6752,52.2562,0.2808,34.2855,1.0366,1.3653,95.7393,9.7846
735,40.0606,50.0475,0.2786,36.2515,0.9869,1.3703,95.8132,9.7884
736,40.7669,50.9453,0.2751,35.3420,1.0166,1.3551,95.8833,9.7920
737,41.6740,61.9594,0.2772,24.3819,0.9883,1.3660,95.9238,9.7941
738,38.1680,52.7570,0.2886,33.2845,1.0274,1.3855,95.9747,9.7967
739,40.0314,62.2461,0.2856,23.5722,1.0334,1.3774,96.0027,9.7981
740,40.3313,51.7679,0.2774,33.8497,1.0375,1.3565,96.0887,9.8025
741,38.2627,51.7423,0.2879,35.6635,0.9626,1.3987,96.1549,9.8059
742,38.0301,53.1466,0.2894,33.3543,0.9509,1.4050,96.2036,9.8083
743,39.6631,61.2074,0.2863,24.5274,1.0682,1.3719,96.2232,9.8093
744,40.5408,50.2047,0.2762,34.5751,0.9625,1.3700,96.3298,9.8148
745,41.5118,62.4096,0.2785,22.0516,1.0184,1.3631,96.5011,9.8235
746,40.5893,49.8640,0.2759,36.0655,0.9767,1.3658,96.5300,9.8250
747,39.8220,61.3496,0.2857,22.9104,1.0757,1.3690,96.5446,9.8257
748,38.0858,52.7799,0.2890,33.3097,1.0257,1.3866,96.5470,9.8258
749,40.0416,61.2628,0.2845,24.2205,1.0695,1.3672,96.5491,9.8259
750,39.1145,61.6703,0.2895,25.3177,1.0246,1.3883,96.5747,9.8272
751,41.2879,62.4494,0.2796,22.7438,1.0137,1.3667,96.7533,9.8363
752,41.2281,57.4351,0.2753,27.1732,0.9308,1.3719,96.7579,9.8366
753,40.4683,59.9738,0.2811,24.2488,0.9711,1.3786,96.7909,9.8382
754,42.4102,59.9742,0.2715,26.9111,1.0432,1.3401,96.9342,9.8455
755,40.7437,49.9209,0.2752,36.2737,0.9878,1.3611,96.9568,9.8467
756,39.8558,51.0926,0.2797,36.4235,1.0120,1.3670,97.0041,9.8491
757,41.3438,52.9163,0.2725,31.6321,0.9191,1.3690,97.3759,9.8679
758,40.0227,61.6261,0.2850,23.5796,1.0035,1.3815,97.3773,9.8680
759,39.2114,61.5523,0.2889,23.8105,1.0243,1.3867,97.3853,9.8684
760,41.7203,62.2991,0.2773,25.1727,0.9927,1.3649,97.4080,9.8696
761,39.4975,50.3378,0.2815,35.4458,0.9989,1.3737,97.9776,9.8984
762,39.7207,51.7846,0.2805,34.7952,1.0319,1.3644,98.0446,9.9017
763,39.1885,51.4534,0.2831,34.1499,1.0281,1.3715,98.0473,9.9019
764,39.5643,60.6375,0.2863,24.6446,0.9877,1.3875,98.1026,9.9047
765,41.0542,49.9990,0.2736,34.7939,0.9690,1.3611,98.1193,9.9055
766,39.1152,61.7604,0.2896,25.1852,1.0447,1.3835,98.1739,9.9083
767,40.8839,58.4108,0.2777,27.7591,0.9274,1.3782,98.2176,9.9105
768,39.8424,50.6117,0.2797,34.3321,1.0202,1.3647,98.2820,9.9137
769,37.9172,52.3944,0.2897,32.5837,0.9999,1.3933,98.3256,9.9159
770,38.2066,51.6729,0.2881,34.5567,0.9838,1.3932,98.4062,9.9200
771,40.4565,60.6217,0.2818,25.7140,0.9621,1.3814,98.6781,9.9337
772,41.0287,50.0904,0.2737,35.3479,1.0015,1.3537,98.7888,9.9393
773,38.9781,50.6303,0.2841,34.6497,0.9853,1.3828,99.0139,9.9506
774,38.4489,51.2079,0.2869,35.8082,0.9622,1.3951,99.0839,9.9541
775,39.2213,50.8997,0.2829,33.8404,0.9571,1.3866,99.1143,9.9556
776,41.1869,58.0179,0.2759,27.0430,0.9302,1.3724,99.2024,9.9600
777,40.3899,62.3723,0.2840,23.6119,1.0464,1.3694,99.2966,9.9648
778,41.5511,50.5777,0.2711,36.7629,0.9959,1.3481,99.3720,9.9686
779,40.0310,49.9492,0.2788,35.9451,0.9971,1.3667,99.6527,9.9826
780,39.3154,59.2939,0.2863,26.7179,0.9587,1.3928,99.6533,9.9827
781,40.1482,60.8396,0.2836,25.8114,0.9667,1.3843,99.8178,9.9909
782,42.4326,60.7370,0.2721,24.3304,0.9684,1.3554,99.9733,9.9987
783,38.9569,60.6744,0.2893,23.7663,1.0101,1.3894,100.0888,10.0044
784,41.3350,49.9212,0.2722,34.9938,0.9896,1.3519,100.0910,10.0046
785,40.0135,50.8081,0.2789,36.3082,1.0145,1.3630,100.4779,10.0239
786,39.3685,50.9265,0.2822,36.8653,1.0074,1.3724,100.5016,10.0250
787,42.0640,50.9789,0.2685,36.7709,0.9922,1.3420,100.5210,10.0260
788,38.0965,51.8137,0.2887,33.6833,1.0031,1.3891,100.5404,10.0270
789,42.6961,61.8098,0.2719,21.7089,1.0372,1.3416,100.7733,10.0386
790,41.9344,50.1850,0.2691,35.1711,0.9692,1.3488,100.8376,10.0418
791,39.6027,61.1960,0.2866,24.0008,1.0783,1.3688,100.9695,10.0484
792,41.4264,49.9284,0.2717,36.2399,0.9872,1.3508,101.2371,10.0617
793,38.5916,50.9739,0.2861,34.9380,0.9646,1.3916,101.4969,10.0746
794,40.4783,62.3120,0.2835,23.8548,1.0518,1.3660,101.5456,10.0770
795,40.5828,61.7543,0.2823,25.5853,0.9741,1.3792,101.5624,10.0778
796,41.4471,49.8231,0.2716,35.8566,0.9661,1.3554,101.6249,10.0809
797,38.8238,58.8750,0.2884,27.2547,0.9599,1.3970,101.6290,10.0811
798,41.9606,62.2983,0.2761,21.1798,1.0115,1.3566,101.6292,10.0811
799,41.2495,62.5883,0.2800,21.0794,1.0209,1.3642,101.6384,10.0816
800,38.9887,50.9141,0.2841,32.4453,1.0275,1.3722,101.6837,10.0838
801,43.2697,61.2230,0.2684,23.3721,1.0163,1.3364,101.7806,10.0886
802,39.3765,50.1148,0.2821,36.1608,0.9928,1.3749,101.8212,10.0906
803,38.5811,51.0690,0.2862,34.3222,0.9659,1.3912,101.8583,10.0925
804,39.5734,60.2509,0.2859,27.3148,0.9549,1.3916,102.0744,10.1032
805,42.5656,61.0807,0.2718,24.3970,0.9702,1.3534,102.1262,10.1058
806,38.0760,52.8536,0.2890,33.4388,1.0358,1.3823,102.1814,10.1085
807,38.1040,51.6023,0.2887,33.9150,0.9956,1.3899,102.2997,10.1143
808,37.8718,52.1150,0.2899,33.0899,0.9887,1.3946,102.4171,10.1201
809,40.6134,49.5130,0.2758,36.3695,0.9812,1.3619,102.5336,10.1259
810,40.9618,62.4653,0.2812,20.9368,1.0201,1.3671,102.5592,10.1272
811,42.5987,62.1873,0.2728,22.3709,1.0248,1.3454,102.5828,10.1283
812,41.6329,49.8785,0.2706,36.3822,0.9792,1.3495,102.5916,10.1288
813,41.6930,60.8334,0.2759,23.5197,0.9700,1.3630,102.8516,10.1416
814,42.0099,50.1190,0.2687,36.6402,0.9521,1.3511,102.8926,10.1436
815,38.6673,51.0747,0.2857,34.8670,1.0135,1.3786,102.9137,10.1446
816,39.7955,61.2227,0.2857,25.4259,0.9777,1.3860,103.0105,10.1494
817,41.4101,51.6628,0.2719,33.9059,1.0379,1.3400,103.0251,10.1501
818,42.8615,60.0505,0.2693,26.1639,0.9490,1.3508,103.0921,10.1534
819,38.7388,50.8817,0.2854,35.0125,1.0103,1.3782,103.3040,10.1639
820,39.4498,49.9227,0.2817,38.5746,0.9763,1.3770,103.4401,10.1706
821,41.6115,57.8498,0.2737,27.3709,1.0829,1.3358,103.4838,10.1727
822,37.8660,52.2244,0.2900,34.2661,1.0134,1.3885,103.5385,10.1754
823,42.0952,51.0829,0.2684,35.6015,1.0076,1.3370,103.6249,10.1796
824,40.2850,49.6679,0.2775,37.6439,0.9893,1.3635,103.7728,10.1869
825,40.6288,59.4024,0.2798,25.5567,0.9465,1.3767,104.1258,10.2042
826,41.9134,49.9094,0.2692,36.9771,0.9670,1.3480,104.3660,10.2160
827,42.0973,61.8660,0.2750,23.4767,0.9810,1.3582,104.3828,10.2168
828,41.3642,61.8498,0.2786,24.6615,0.9718,1.3689,104.4728,10.2212
829,40.5642,51.6791,0.2762,33.5385,1.0477,1.3482,104.4729,10.2212
830,40.7364,62.4042,0.2823,24.3158,0.9900,1.3745,104.5173,10.2234
831,39.0835,61.4469,0.2895,24.4522,1.0058,1.3886,104.6254,10.2287
832,39.2284,59.6004,0.2870,25.3539,0.9698,1.3899,104.6474,10.2297
833,39.4572,61.5913,0.2877,24.2263,0.9994,1.3858,104.7062,10.2326
834,39.7065,51.7753,0.2806,33.5901,1.0481,1.3585,105.0414,10.2490
835,42.7920,60.2453,0.2698,26.0234,0.9484,1.3513,105.0786,10.2508
836,42.8380,61.5782,0.2710,23.7091,0.9817,1.3479,105.0942,10.2515
837,39.8503,62.0451,0.2863,24.7613,0.9936,1.3831,105.4835,10.2705
838,40.6399,49.5341,0.2757,35.6903,0.9608,1.3652,105.5045,10.2715
839,40.6011,61.9432,0.2824,23.6654,0.9858,1.3752,105.5664,10.2746
840,38.6589,59.4417,0.2897,26.3368,0.9725,1.3956,105.9141,10.2915
841,41.0734,62.9487,0.2813,23.5907,1.0052,1.3684,105.9712,10.2942
842,38.4392,52.6636,0.2872,33.1668,1.0480,1.3739,105.9951,10.2954
843,39.0679,50.8321,0.2837,33.9562,1.0294,1.3690,106.0644,10.2988
844,40.1672,62.6428,0.2854,21.7114,1.0259,1.3743,106.1775,10.3042
845,41.0208,51.0712,0.2738,34.9399,1.0319,1.3446,106.1897,10.3048
846,39.5782,50.7551,0.2811,36.9823,1.0141,1.3659,106.3462,10.3124
847,42.5139,62.5440,0.2737,22.5802,1.0062,1.3495,106.3483,10.3125
848,40.6851,50.2178,0.2755,36.0845,1.0156,1.3517,106.5340,10.3215
849,41.9040,61.2007,0.2752,24.0107,0.9653,1.3606,106.5832,10.3239
850,40.4600,59.2830,0.2806,26.5159,1.0888,1.3502,106.6224,10.3258
851,38.0261,51.9334,0.2891,32.9178,1.0305,1.3815,106.6726,10.3282
852,40.9083,61.9251,0.2809,22.7727,0.9880,1.3705,106.7277,10.3309
853,42.8275,62.1809,0.2717,20.7429,1.0182,1.3423,106.7329,10.3312
854,38.7550,51.8634,0.2854,33.3027,0.9325,1.3948,106.8466,10.3367
855,39.1614,59.9823,0.2877,25.5229,0.9706,1.3904,106.8551,10.3371
856,40.5331,52.3770,0.2765,34.0627,1.0508,1.3475,106.9928,10.3437
857,39.1124,50.2036,0.2834,34.6664,1.0106,1.3719,107.0033,10.3442
858,38.6751,50.4264,0.2857,34.7607,0.9880,1.3824,107.0043,10.3443
859,40.2546,49.8320,0.2776,35.8035,1.0116,1.3576,107.0494,10.3465
860,42.1171,51.1805,0.2683,34.8119,1.0199,1.3327,107.2921,10.3582
861,39.2132,51.7810,0.2831,33.9521,1.0452,1.3641,107.3094,10.3590
862,40.8533,50.4098,0.2746,34.6386,1.0287,1.3465,107.5082,10.3686
863,38.7819,60.4389,0.2900,25.6527,0.9841,1.3931,107.5205,10.3692
864,39.1993,58.4933,0.2862,26.0560,0.9535,1.3899,107.5382,10.3701
865,39.1166,50.9125,0.2834,34.3438,0.9340,1.3893,108.2145,10.4026
866,39.0524,58.6840,0.2871,26.9129,0.9484,1.3930,108.2403,10.4039
867,41.5649,49.4128,0.2710,37.9603,0.9573,1.3531,108.3548,10.4094
868,40.5259,49.6671,0.2763,34.8268,0.9526,1.3671,108.7284,10.4273
869,39.5305,62.6804,0.2886,23.5690,1.0254,1.3806,108.7805,10.4298
870,42.6294,62.6237,0.2732,22.7431,1.0060,1.3473,108.7959,10.4305
871,40.3284,63.1080,0.2851,22.4650,1.0416,1.3692,108.8020,10.4308
872,40.4819,49.7340,0.2765,35.6500,0.9401,1.3707,108.8554,10.4334
873,40.0759,61.5135,0.2846,25.0443,0.9719,1.3817,108.9221,10.4366
874,40.0341,49.2587,0.2788,36.3248,0.9842,1.3656,108.9619,10.4385
875,41.0771,53.0690,0.2739,34.9759,1.0446,1.3415,108.9695,10.4388
876,40.9731,62.6299,0.2814,23.9559,0.9872,1.3708,109.1582,10.4479
877,40.6584,49.3051,0.2756,36.9226,0.9937,1.3556,109.1898,10.4494
878,39.5981,50.6523,0.2810,38.1207,1.0079,1.3657,109.2549,10.4525
879,39.4896,62.7813,0.2889,23.5584,1.0328,1.3796,109.2940,10.4544
880,38.8443,51.3713,0.2849,35.3498,1.0298,1.3705,109.3795,10.4585
881,39.8626,49.3376,0.2796,36.5508,0.9623,1.3729,109.3863,10.4588
882,39.7442,49.4704,0.2802,34.6968,0.9910,1.3675,109.4134,10.4601
883,41.0264,63.1151,0.2817,20.6109,1.0542,1.3585,109.4598,10.4623
884,39.1573,50.3857,0.2832,35.1481,1.0207,1.3682,109.4600,10.4623
885,38.7627,50.0058,0.2852,37.0050,0.9709,1.3842,109.5411,10.4662
886,41.5109,63.1900,0.2794,22.5943,1.0324,1.3568,109.5886,10.4685
887,39.6010,49.9444,0.2809,36.6159,1.0087,1.3652,109.6382,10.4708
888,41.4370,60.3854,0.2767,24.3923,0.9520,1.3652,109.7923,10.4782
889,38.6886,50.3702,0.2856,36.7019,0.9378,1.3933,109.8179,10.4794
890,43.1093,60.3660,0.2684,22.6089,0.9731,1.3406,109.8397,10.4804
891,38.0559,52.8292,0.2891,35.0760,1.0342,1.3797,109.8573,10.4813
892,41.0370,53.2395,0.2742,31.3784,1.0748,1.3363,110.0227,10.4892
893,39.4636,60.1562,0.2863,25.8160,0.9590,1.3879,110.0644,10.4912
894,41.0474,62.7215,0.2811,21.7514,1.0039,1.3665,110.1144,10.4935
895,41.5188,53.6716,0.2719,33.6503,1.0539,1.3341,110.3818,10.5063
896,38.9940,49.8997,0.2840,34.9052,0.9801,1.3787,110.5549,10.5145
897,40.7286,59.6333,0.2795,25.3059,0.9424,1.3736,110.6661,10.5198
898,41.6086,63.3375,0.2791,22.1982,1.0171,1.3587,110.8789,10.5299
899,40.0031,62.0608,0.2855,23.1535,0.9949,1.3785,111.0415,10.5376
900,42.7586,62.0332,0.2719,23.7998,0.9778,1.3483,111.1114,10.5409
901,41.1328,49.2478,0.2732,36.3866,0.9925,1.3491,111.1721,10.5438
902,39.2722,50.9363,0.2827,35.5858,1.0300,1.3644,111.1753,10.5440
903,40.7707,63.1020,0.2829,21.4751,1.0181,1.3677,111.2742,10.5487
904,40.0215,61.7465,0.2851,23.3102,0.9879,1.3787,111.3322,10.5514
905,42.0297,60.7003,0.2741,24.5844,1.0727,1.3349,111.3571,10.5526
906,38.7776,51.9140,0.2853,34.6853,1.0418,1.3684,111.4306,10.5561
907,39.8644,61.6030,0.2857,23.3451,0.9884,1.3801,111.4819,10.5585
908,41.0285,62.6356,0.2811,24.0283,0.9823,1.3699,111.7560,10.5715
909,40.1747,49.1318,0.2781,35.3224,0.9904,1.3612,111.8755,10.5771
910,41.8999,62.3069,0.2764,24.3957,0.9703,1.3605,112.1983,10.5924
911,41.6776,63.0476,0.2784,21.5514,1.0051,1.3587,112.3457,10.5993
912,42.5550,62.7446,0.2737,20.7405,1.0427,1.3401,112.3651,10.6002
913,39.8175,63.1606,0.2877,23.2403,1.0350,1.3750,112.3758,10.6007
914,38.1636,51.6188,0.2884,34.3631,0.9348,1.3992,112.5928,10.6110
915,41.6993,50.1072,0.2703,35.6010,1.0148,1.3363,113.0450,10.6323
916,40.1748,49.2539,0.2781,36.4738,0.9475,1.3710,113.0667,10.6333
917,38.1304,50.9408,0.2884,36.0074,1.0047,1.3826,113.1750,10.6384
918,42.0029,49.4772,0.2688,37.5003,0.9695,1.3425,113.2492,10.6419
919,42.1728,61.8575,0.2746,24.3463,0.9631,1.3566,113.3958,10.6487
920,41.4200,49.6429,0.2717,36.3772,1.0058,1.3416,113.4334,10.6505
921,39.6876,61.4525,0.2865,24.4149,0.9777,1.3830,113.6654,10.6614
922,40.0619,49.4969,0.2786,35.4598,1.0162,1.3562,113.7361,10.6647
923,40.3668,62.1854,0.2839,23.3627,0.9849,1.3752,113.7388,10.6648
924,40.8968,62.5178,0.2816,23.2770,1.0668,1.3533,113.9921,10.6767
925,40.7282,60.5795,0.2804,24.0058,0.9565,1.3715,114.2788,10.6901
926,42.5651,62.0644,0.2729,23.1577,0.9755,1.3496,114.4027,10.6959
927,37.8298,51.1316,0.2900,36.8449,0.9895,1.3891,114.4246,10.6969
928,38.0279,50.9184,0.2890,36.4443,0.9986,1.3846,114.4971,10.7003
929,38.1770,52.9592,0.2886,33.8251,1.0521,1.3730,114.5581,10.7032
930,43.0651,60.1093,0.2683,24.9759,0.9463,1.3434,114.6548,10.7077
931,41.3460,61.3278,0.2781,21.0911,0.9840,1.3606,114.6830,10.7090
932,41.5406,49.4395,0.2711,37.5922,0.9922,1.3424,114.8573,10.7172
933,39.5402,61.1795,0.2869,24.2241,0.9773,1.3835,114.9359,10.7208
934,41.0594,49.6256,0.2736,36.5521,1.0117,1.3442,115.0071,10.7241
935,40.0705,63.3486,0.2867,22.8783,1.0246,1.3735,115.1477,10.7307
936,41.1524,63.4178,0.2814,23.5119,1.0006,1.3657,115.2112,10.7336
937,41.0291,62.9315,0.2815,22.2859,0.9960,1.3665,115.2871,10.7372
938,42.8515,58.9660,0.2683,26.6685,1.0681,1.3200,115.3818,10.7416
939,41.8704,63.1493,0.2776,23.8423,0.9869,1.3587,115.5490,10.7494
940,39.9566,50.6560,0.2792,33.9828,1.0467,1.3509,115.5592,10.7498
941,40.0973,62.6066,0.2857,21.2379,1.0135,1.3733,115.6864,10.7558
942,43.2298,62.2768,0.2698,23.0351,0.9908,1.3388,115.7778,10.7600
943,41.1488,48.9147,0.2732,36.0783,0.9722,1.3517,115.7888,10.7605
944,39.5610,59.9124,0.2856,25.4696,0.9516,1.3847,115.9478,10.7679
945,41.6678,50.1793,0.2705,36.0421,1.0177,1.3350,115.9779,10.7693
946,41.9371,50.4548,0.2691,36.2313,1.0152,1.3321,116.0183,10.7712
947,42.1033,49.4601,0.2683,36.9472,0.9781,1.3380,116.1058,10.7752
948,42.9806,60.4024,0.2690,22.9489,0.9614,1.3415,116.1287,10.7763
949,40.8016,63.6551,0.2834,22.1685,1.0357,1.3632,116.2429,10.7816
950,40.8816,63.5322,0.2829,21.4740,1.0200,1.3651,116.3328,10.7858
951,41.4519,49.2077,0.2716,35.5279,1.0016,1.3408,116.4321,10.7904
952,40.9668,61.9171,0.2806,22.1983,0.9805,1.3666,116.5626,10.7964
953,42.9941,62.5184,0.2713,23.0875,0.9877,1.3426,116.5709,10.7968
954,39.9161,63.3961,0.2875,21.3141,1.0450,1.3710,116.5951,10.7979
955,41.6367,49.0463,0.2707,36.2065,0.9747,1.3445,116.6785,10.8018
956,37.9157,50.8130,0.2895,35.4248,0.9592,1.3943,116.8286,10.8087
957,43.1936,62.5525,0.2703,23.2529,0.9999,1.3379,116.8485,10.8096
958,40.4194,48.9662,0.2768,36.5724,0.9502,1.3657,116.8698,10.8106
959,43.1619,62.6211,0.2706,22.0828,1.0167,1.3353,116.9823,10.8158
960,42.2035,63.1030,0.2759,20.3346,1.0543,1.3412,117.0919,10.8209
961,40.4846,60.9104,0.2819,24.1679,0.9572,1.3739,117.1989,10.8258
962,39.5526,49.4538,0.2812,35.8237,1.0144,1.3613,117.2065,10.8262
963,38.7837,51.2165,0.2852,35.7075,1.0346,1.3670,117.2077,10.8263
964,39.5648,49.9720,0.2811,35.9467,1.0245,1.3591,117.2079,10.8263
965,40.7126,48.8932,0.2754,37.3611,0.9439,1.3634,117.3394,10.8323
966,41.5082,49.6782,0.2713,34.1228,1.0256,1.3346,117.5899,10.8439
967,41.3249,63.6120,0.2808,21.7019,1.0439,1.3546,117.6737,10.8478
968,40.2944,48.7793,0.2775,37.3138,0.9525,1.3662,117.9335,10.8597
969,40.0253,48.7630,0.2789,37.5089,0.9866,1.3613,118.0314,10.8642
970,39.5003,62.6818,0.2887,22.2561,1.0164,1.3788,118.1184,10.8682
971,41.3681,60.9366,0.2776,22.6120,0.9630,1.3613,118.3378,10.8783
972,38.8874,50.9914,0.2846,37.0087,1.0253,1.3670,118.4287,10.8825
973,42.9941,62.8200,0.2716,22.9499,1.0173,1.3370,118.5023,10.8859
974,39.4127,62.7953,0.2893,21.1557,1.0314,1.3771,118.6436,10.8924
975,39.0593,49.3389,0.2837,37.4002,0.9425,1.3836,118.7081,10.8953
976,41.8751,62.7602,0.2771,22.2782,0.9840,1.3565,118.7209,10.8959
977,40.5564,63.7089,0.2847,22.2585,1.0217,1.3678,119.0659,10.9117
978,38.3415,51.0481,0.2874,36.0026,1.0262,1.3730,119.2289,10.9192
979,38.2602,50.1968,0.2877,36.9181,0.9961,1.3800,119.4468,10.9292
980,43.1710,61.0280,0.2687,23.9691,1.0552,1.3218,119.4480,10.9292
981,42.2377,62.2182,0.2747,21.9956,0.9780,1.3512,119.4833,10.9308
982,40.7751,48.8956,0.2751,35.3542,0.9602,1.3576,119.5372,10.9333
983,39.3635,63.0477,0.2898,23.7724,1.0162,1.3807,119.5693,10.9348
984,40.5080,63.0199,0.2841,21.9798,1.0007,1.3701,120.0299,10.9558
985,43.0948,62.8484,0.2712,22.6227,1.0182,1.3350,120.2942,10.9679
986,40.9813,48.6102,0.2740,37.4387,0.9852,1.3488,120.3186,10.9690
987,40.4170,49.9728,0.2768,37.5140,1.0196,1.3484,120.3261,10.9693
988,41.4891,54.0215,0.2721,30.6620,1.0872,1.3252,120.4155,10.9734
989,43.3283,61.9458,0.2690,23.1294,1.0375,1.3255,120.4604,10.9754
990,38.3999,50.8114,0.2871,34.5707,1.0353,1.3698,120.5170,10.9780
991,38.8588,49.9002,0.2847,34.6166,1.0260,1.3659,120.6322,10.9833
992,39.9249,49.1674,0.2793,39.3866,0.9934,1.3596,120.7490,10.9886
