rank,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse,rmse
160,40.3228,59.1345,0.2811,26.8532,1.0169,1.3880,53.6726,7.3262
161,41.6868,57.9788,0.2734,26.8477,0.9866,1.3753,53.6814,7.3268
162,42.3270,56.6642,0.2693,30.6464,0.9952,1.3630,53.8803,7.3403
163,41.6873,56.8797,0.2726,29.8115,0.9599,1.3793,53.8920,7.3411
164,39.2007,55.4257,0.2843,31.6680,0.9765,1.4049,54.1434,7.3582
165,40.4287,53.0963,0.2772,34.0099,0.9682,1.3893,54.2221,7.3636
166,39.1076,57.1985,0.2858,29.7252,1.0000,1.4030,54.2435,7.3650
167,42.3087,54.8708,0.2684,30.2662,0.9787,1.3642,54.3536,7.3725
168,39.3896,55.7066,0.2835,29.3666,0.9867,1.4003,54.4043,7.3759
169,40.8005,54.0404,0.2756,29.8269,1.0293,1.3713,54.4634,7.3799
170,42.5132,56.9221,0.2685,28.5852,0.9978,1.3602,54.4689,7.3803
171,41.0368,57.4479,0.2763,27.6419,1.0420,1.3702,54.4905,7.3818
172,42.2251,58.1430,0.2708,27.6129,0.9988,1.3658,54.6005,7.3892
173,41.6228,55.3272,0.2720,29.0567,1.0330,1.3615,54.6832,7.3948
174,40.4874,53.2766,0.2770,32.1508,1.0067,1.3794,54.7478,7.3992
175,39.0258,56.1598,0.2856,29.9517,1.0193,1.3978,54.8926,7.4090
176,41.8931,58.4697,0.2727,27.1073,1.0183,1.3662,55.0567,7.4200
177,40.5392,55.5765,0.2776,30.4951,0.9559,1.3924,55.0787,7.4215
178,40.0565,58.8989,0.2823,28.1668,0.9959,1.3948,55.2217,7.4311
179,40.3872,56.6571,0.2790,28.5390,0.9703,1.3923,55.2572,7.4335
180,39.2453,55.2263,0.2840,28.9676,1.0296,1.3915,55.2992,7.4363
181,40.6641,55.9549,0.2772,29.6299,0.9601,1.3901,55.4140,7.4441
182,39.4124,57.6098,0.2845,28.1430,0.9969,1.4001,55.4483,7.4464
183,39.5724,53.7511,0.2817,32.2157,1.0002,1.3924,55.4604,7.4472
184,39.0036,55.4226,0.2853,30.1553,1.0132,1.3982,55.4887,7.4491
185,41.0787,58.1366,0.2765,27.6418,0.9762,1.3847,55.5495,7.4532
186,41.7970,58.3055,0.2731,27.5310,0.9814,1.3749,55.5551,7.4535
187,39.6776,53.9742,0.2813,31.3941,0.9796,1.3961,55.5590,7.4538
188,40.2364,54.1867,0.2785,32.3354,1.0164,1.3807,55.7498,7.4666
189,41.6530,58.3477,0.2738,26.0842,0.9912,1.3744,55.9041,7.4769
190,38.8887,56.4639,0.2864,29.8455,1.0114,1.4012,55.9160,7.4777
191,40.9527,52.9576,0.2745,32.6533,0.9949,1.3754,55.9221,7.4781
192,38.8980,56.1163,0.2862,29.3865,1.0078,1.4013,56.3032,7.5035
193,42.2473,56.1234,0.2693,29.8874,1.0136,1.3580,56.4160,7.5111
194,39.2187,55.6507,0.2843,30.1317,0.9817,1.4027,56.4466,7.5131
195,40.4243,57.7020,0.2795,26.5877,1.0521,1.3754,56.4983,7.5165
196,39.2283,55.0612,0.2840,29.2071,1.0301,1.3908,56.6646,7.5276
197,40.6904,58.7451,0.2790,27.3297,0.9837,1.3886,56.7152,7.5310
198,39.7637,53.2565,0.2806,32.6371,0.9923,1.3908,56.9326,7.5454
199,39.3557,55.8742,0.2838,30.1945,0.9737,1.4029,56.9814,7.5486
200,41.5231,53.4148,0.2718,32.9173,0.9952,1.3680,56.9887,7.5491
201,38.9398,56.7270,0.2863,31.1726,1.0109,1.4006,56.9891,7.5491
202,39.5440,54.4371,0.2821,33.1693,0.9549,1.4035,57.0284,7.5517
203,39.1860,57.7489,0.2858,28.1947,1.0044,1.4007,57.0848,7.5554
204,41.0972,53.7303,0.2740,31.4839,1.0183,1.3685,57.1261,7.5582
205,41.2382,58.1035,0.2757,25.9987,0.9873,1.3794,57.2979,7.5695
206,40.4381,59.4074,0.2808,28.8529,0.9934,1.3907,57.4534,7.5798
207,40.8027,53.0900,0.2753,33.4000,1.0002,1.3756,57.4595,7.5802
208,41.5671,54.9296,0.2721,32.9076,0.9388,1.3818,57.5393,7.5855
209,40.5781,55.2833,0.2773,30.5355,1.0351,1.3729,57.6626,7.5936
210,41.5560,53.1092,0.2715,33.6971,0.9804,1.3705,57.6800,7.5947
211,39.1615,57.7778,0.2859,28.7674,0.9991,1.4020,57.6966,7.5958
212,42.0747,53.7366,0.2691,33.0050,0.9774,1.3650,57.8906,7.6086
213,40.7089,53.4227,0.2759,32.1036,1.0151,1.3735,57.9384,7.6117
214,42.0495,57.5786,0.2713,26.5994,0.9838,1.3687,57.9465,7.6123
215,41.0430,59.6338,0.2780,25.7770,1.0065,1.3807,57.9763,7.6142
216,39.2319,57.4070,0.2853,27.4717,1.0036,1.3993,58.0426,7.6186
217,39.3925,57.7714,0.2847,28.8249,0.9872,1.4017,58.0497,7.6190
218,42.1742,57.6378,0.2707,26.5913,1.0327,1.3568,58.0886,7.6216
219,40.8715,58.6779,0.2780,25.3512,1.0498,1.3716,58.1339,7.6246
220,40.0641,55.9318,0.2802,29.8990,0.9600,1.3965,58.1613,7.6264
221,40.1764,56.8511,0.2802,27.0225,1.0566,1.3755,58.2315,7.6310
222,40.8584,59.6182,0.2789,26.6489,0.9998,1.3842,58.2624,7.6330
223,40.2786,59.5241,0.2817,25.9723,1.0252,1.3857,58.3289,7.6373
224,39.1643,54.0572,0.2839,32.0108,0.9934,1.3980,58.5740,7.6534
225,41.3796,52.9108,0.2723,33.4384,0.9685,1.3751,58.5756,7.6535
226,40.9410,54.7460,0.2752,30.7300,1.0325,1.3678,58.6071,7.6555
227,41.2515,58.9703,0.2763,25.1757,0.9984,1.3781,58.6192,7.6563
228,40.8379,58.0307,0.2777,28.7014,1.0350,1.3734,58.6444,7.6580
229,41.3121,58.2931,0.2755,27.3002,1.0383,1.3674,58.6596,7.6590
230,39.3260,58.1701,0.2854,27.7645,1.0023,1.3995,58.7580,7.6654
231,39.3058,53.7266,0.2831,32.4449,0.9863,1.3975,58.8646,7.6723
232,39.4664,54.1666,0.2824,32.5219,1.0126,1.3898,58.8905,7.6740
233,38.7621,55.6859,0.2867,29.9264,1.0103,1.4007,58.9840,7.6801
234,39.6412,55.4096,0.2821,29.2003,0.9752,1.3973,59.0855,7.6867
235,39.5385,58.6601,0.2847,28.5147,1.0265,1.3922,59.1196,7.6889
236,40.2511,53.0214,0.2781,33.2373,1.0043,1.3808,59.2571,7.6979
237,40.0460,58.4337,0.2820,26.0972,0.9974,1.3919,59.3146,7.7016
238,39.7258,56.0706,0.2820,29.2962,1.0440,1.3819,59.4072,7.7076
239,41.8033,58.2214,0.2730,26.7754,1.0362,1.3612,59.5031,7.7138
240,38.8637,57.1774,0.2870,31.4197,1.0090,1.4016,59.5839,7.7191
241,42.2836,57.9195,0.2703,27.6057,1.0213,1.3575,59.9286,7.7414
242,39.3436,58.6412,0.2856,25.7723,1.0350,1.3925,60.0507,7.7492
243,39.4695,56.2443,0.2834,30.4776,1.0342,1.3870,60.1363,7.7548
244,40.3704,52.5890,0.2774,32.2810,0.9913,1.3816,60.2238,7.7604
245,39.1142,54.4341,0.2843,32.4631,1.0096,1.3945,60.2908,7.7647
246,40.8660,59.3456,0.2786,25.9080,0.9948,1.3837,60.3014,7.7654
247,42.5687,57.3723,0.2685,26.9959,0.9867,1.3602,60.3168,7.7664
248,39.2799,57.5827,0.2852,27.5482,0.9966,1.3995,60.4590,7.7755
249,42.4893,58.3487,0.2696,26.0438,1.0083,1.3584,60.4832,7.7771
250,40.9681,52.9010,0.2744,32.4630,0.9661,1.3800,60.5103,7.7788
251,41.8201,58.6961,0.2733,27.0713,0.9796,1.3736,60.5613,7.7821
252,40.5791,57.1544,0.2784,30.5659,1.0314,1.3750,60.6343,7.7868
253,41.9765,53.3298,0.2694,30.6641,0.9903,1.3617,60.7321,7.7931
254,39.5015,57.8386,0.2842,29.5307,0.9732,1.4024,60.8194,7.7987
255,41.2960,59.7827,0.2768,26.5135,0.9968,1.3787,60.8221,7.7989
256,42.0753,58.0915,0.2715,29.3122,0.9619,1.3730,60.8438,7.8002
257,39.3413,53.9558,0.2830,31.6611,1.0175,1.3892,60.9126,7.8047
258,39.1296,54.4573,0.2842,32.6547,1.0105,1.3939,60.9753,7.8087
259,41.2945,54.8142,0.2735,31.1736,0.9462,1.3816,61.0141,7.8112
260,40.4253,52.5239,0.2771,33.4988,0.9726,1.3849,61.0325,7.8123
